iter	Passed	Remaining
0	133	133626
1	224	112024
2	358	119055
3	517	128779
4	603	120064
5	712	118004
6	1013	143761
7	1274	158012
8	1438	158388
9	1613	159710
10	1788	160829
11	1951	160642
12	2088	158545
13	2195	154661
14	2352	154507
15	2604	160149
16	2730	157900
17	2843	155155
18	2995	154675
19	3145	154147
20	3337	155579
21	3491	155197
22	3680	156330
23	3775	153548
24	3913	152608
25	4022	150691
26	4150	149580
27	4253	147646
28	4356	145881
29	4476	144734
30	4583	143260
31	4702	142260
32	4816	141152
33	4916	139678
34	4998	137813
35	5165	138312
36	5290	137692
37	5383	136274
38	5504	135639
39	5610	134659
40	5729	134008
41	5892	134395
42	6023	134068
43	6129	133167
44	6202	131629
45	6293	130527
46	6382	129419
47	6487	128667
48	6594	127996
49	6666	126670
50	6751	125635
51	6838	124664
52	6909	123467
53	6965	122030
54	7029	120774
55	7113	119916
56	7192	118994
57	7258	117886
58	7352	117270
59	7433	116461
60	7515	115688
61	7629	115422
62	7748	115242
63	7854	114876
64	7941	114235
65	8007	113321
66	8068	112360
67	8165	111912
68	8341	112553
69	8489	112785
70	8588	112376
71	8651	111503
72	8721	110751
73	8791	110008
74	8866	109359
75	8932	108601
76	9005	107948
77	9114	107742
78	9186	107102
79	9256	106452
80	9336	105929
81	9405	105300
82	9474	104671
83	9544	104080
84	9649	103873
85	9723	103338
86	9806	102916
87	9863	102225
88	9907	101414
89	9954	100648
90	10002	99919
91	10049	99185
92	10105	98558
93	10153	97859
94	10207	97240
95	10262	96639
96	10322	96091
97	10430	96002
98	10540	95926
99	10742	96681
100	10836	96459
101	10908	96034
102	10992	95730
103	11076	95428
104	11152	95061
105	11227	94696
106	11287	94206
107	11344	93695
108	11397	93163
109	11448	92626
110	11503	92135
111	11553	91606
112	11606	91107
113	11658	90607
114	11713	90146
115	11806	89975
116	11856	89479
117	11906	88992
118	11956	88514
119	12002	88019
120	12059	87608
121	12111	87162
122	12162	86717
123	12214	86291
124	12287	86009
125	12340	85602
126	12405	85277
127	12462	84899
128	12532	84618
129	12598	84311
130	12660	83981
131	12720	83649
132	12783	83335
133	12842	82999
134	12896	82632
135	12957	82315
136	13008	81945
137	13071	81652
138	13137	81376
139	13192	81039
140	13284	80933
141	13377	80827
142	13474	80751
143	13597	80830
144	13712	80854
145	13790	80662
146	13886	80582
147	13974	80445
148	14049	80242
149	14109	79952
150	14183	79749
151	14261	79561
152	14314	79242
153	14362	78902
154	14426	78650
155	14513	78524
156	14600	78394
157	14724	78470
158	14808	78328
159	14876	78103
160	14985	78089
161	15124	78237
162	15361	78880
163	15681	79938
164	15783	79876
165	15906	79915
166	15995	79786
167	16104	79755
168	16207	79692
169	16396	80055
170	16541	80193
171	16694	80368
172	16901	80793
173	17099	81174
174	17267	81404
175	17597	82388
176	17864	83062
177	18098	83577
178	18486	84790
179	18798	85637
180	19049	86195
181	19277	86641
182	19468	86917
183	19643	87116
184	19915	87734
185	20088	87916
186	20226	87935
187	20346	87880
188	20423	87637
189	20504	87412
190	20604	87270
191	20671	86991
192	20782	86899
193	20863	86679
194	21086	87049
195	21212	87015
196	21327	86932
197	21471	86970
198	21676	87251
199	21803	87215
200	21910	87098
201	22011	86958
202	22089	86724
203	22158	86461
204	22250	86288
205	22319	86027
206	22473	86093
207	22579	85975
208	22701	85918
209	22837	85913
210	22958	85848
211	23065	85735
212	23161	85578
213	23232	85330
214	23309	85106
215	23386	84883
216	23474	84703
217	23536	84430
218	23592	84134
219	23674	83937
220	23762	83758
221	23834	83527
222	23901	83279
223	23960	83005
224	24021	82739
225	24083	82482
226	24139	82203
227	24195	81926
228	24260	81681
229	24329	81451
230	24387	81187
231	24448	80934
232	24509	80682
233	24619	80592
234	24731	80509
235	24830	80382
236	24939	80288
237	25063	80244
238	25157	80104
239	25292	80093
240	25387	79955
241	25478	79804
242	25707	80084
243	25776	79865
244	25820	79569
245	25985	79646
246	26109	79598
247	26197	79436
248	26276	79252
249	26336	79010
250	26409	78808
251	26467	78561
252	26555	78407
253	26661	78305
254	26734	78106
255	26852	78041
256	27006	78078
257	27075	77867
258	27247	77954
259	27338	77809
260	27427	77658
261	27492	77439
262	27565	77245
263	27645	77073
264	27709	76855
265	27768	76623
266	27820	76377
267	27874	76135
268	27936	75917
269	28013	75741
270	28188	75827
271	28331	75827
272	28421	75685
273	28485	75477
274	28580	75349
275	28661	75184
276	28727	74981
277	28799	74796
278	28870	74608
279	28957	74461
280	29019	74252
281	29134	74179
282	29208	74002
283	29284	73830
284	29375	73697
285	29445	73509
286	29550	73413
287	29663	73335
288	29728	73138
289	29795	72947
290	29888	72820
291	29991	72718
292	30118	72674
293	30191	72500
294	30296	72403
295	30404	72313
296	30517	72234
297	30671	72252
298	30782	72169
299	30859	72006
300	30956	71888
301	31037	71736
302	31123	71594
303	31202	71437
304	31300	71324
305	31451	71331
306	31572	71270
307	31710	71245
308	31772	71050
309	31825	70837
310	31868	70602
311	31938	70428
312	31985	70204
313	32037	69993
314	32084	69771
315	32139	69568
316	32192	69361
317	32278	69225
318	32340	69040
319	32397	68844
320	32456	68654
321	32512	68458
322	32602	68333
323	32770	68372
324	32874	68277
325	32966	68157
326	33067	68055
327	33131	67878
328	33201	67714
329	33264	67536
330	33328	67361
331	33395	67193
332	33464	67028
333	33530	66859
334	33584	66667
335	33692	66583
336	33798	66493
337	33944	66483
338	34027	66348
339	34120	66234
340	34185	66065
341	34244	65886
342	34301	65703
343	34369	65541
344	34438	65383
345	34504	65218
346	34563	65043
347	34739	65086
348	34867	65039
349	34948	64904
350	35030	64771
351	35143	64695
352	35225	64562
353	35345	64499
354	35537	64567
355	35640	64473
356	35756	64401
357	35836	64265
358	35915	64128
359	35981	63966
360	36074	63854
361	36132	63680
362	36263	63636
363	36416	63629
364	36477	63461
365	36535	63287
366	36610	63145
367	36668	62974
368	36727	62804
369	36897	62825
370	37105	62909
371	37248	62882
372	37342	62770
373	37413	62623
374	37499	62499
375	37584	62375
376	37660	62235
377	37731	62087
378	37791	61921
379	37845	61747
380	37904	61582
381	37966	61422
382	38063	61318
383	38191	61266
384	38319	61211
385	38400	61083
386	38536	61040
387	38617	60912
388	38680	60754
389	38752	60613
390	38820	60464
391	38899	60333
392	38959	60174
393	39027	60027
394	39098	59885
395	39192	59777
396	39271	59649
397	39408	59607
398	39524	59534
399	39654	59481
400	39732	59351
401	39805	59213
402	39883	59082
403	39948	58933
404	40028	58807
405	40099	58667
406	40160	58513
407	40226	58367
408	40297	58228
409	40377	58104
410	40441	57956
411	40510	57815
412	40593	57695
413	40741	57668
414	40970	57753
415	41232	57883
416	41355	57817
417	41454	57718
418	41548	57613
419	41625	57482
420	41683	57327
421	41747	57179
422	41823	57049
423	41890	56907
424	41948	56753
425	41992	56582
426	42042	56418
427	42092	56254
428	42141	56090
429	42199	55938
430	42243	55769
431	42294	55609
432	42350	55457
433	42416	55317
434	42474	55168
435	42562	55057
436	42619	54908
437	42680	54763
438	42741	54619
439	42801	54474
440	42879	54353
441	43003	54289
442	43213	54333
443	43364	54303
444	43482	54231
445	43609	54170
446	43714	54080
447	43811	53981
448	43893	53864
449	43966	53736
450	44026	53593
451	44081	53444
452	44162	53326
453	44258	53226
454	44391	53172
455	44474	53056
456	44540	52922
457	44616	52799
458	44801	52805
459	44859	52661
460	44935	52538
461	45011	52416
462	45085	52291
463	45188	52201
464	45261	52074
465	45319	51932
466	45389	51804
467	45460	51676
468	45545	51566
469	45608	51430
470	45669	51293
471	45735	51161
472	45808	51038
473	45865	50896
474	45921	50754
475	45985	50622
476	46057	50498
477	46123	50368
478	46190	50240
479	46268	50124
480	46349	50011
481	46439	49907
482	46526	49801
483	46586	49666
484	46714	49603
485	46788	49484
486	46851	49352
487	46908	49215
488	46964	49077
489	47033	48953
490	47096	48823
491	47156	48689
492	47208	48549
493	47278	48427
494	47342	48298
495	47392	48156
496	47441	48014
497	47525	47906
498	47560	47751
499	47593	47593
500	47628	47438
501	47662	47283
502	47699	47130
503	47735	46977
504	47774	46828
505	47816	46682
506	47854	46533
507	47889	46381
508	47922	46227
509	47957	46077
510	47997	45930
511	48034	45783
512	48071	45634
513	48108	45487
514	48145	45341
515	48185	45196
516	48221	45050
517	48261	44907
518	48297	44761
519	48345	44626
520	48389	44488
521	48433	44350
522	48477	44213
523	48517	44073
524	48559	43934
525	48612	43806
526	48661	43675
527	48706	43540
528	48756	43410
529	48803	43278
530	48861	43156
531	48917	43032
532	48974	42909
533	49077	42828
534	49168	42734
535	49462	42818
536	49712	42862
537	49855	42812
538	49984	42750
539	50063	42646
540	50120	42523
541	50175	42399
542	50233	42277
543	50288	42153
544	50340	42027
545	50389	41899
546	50439	41771
547	50517	41667
548	50572	41545
549	50625	41421
550	50675	41294
551	50757	41194
552	50813	41073
553	50862	40946
554	50912	40821
555	50970	40703
556	51044	40597
557	51105	40481
558	51154	40356
559	51199	40228
560	51245	40100
561	51286	39970
562	51334	39845
563	51374	39714
564	51439	39603
565	51486	39479
566	51544	39362
567	51595	39241
568	51648	39121
569	51701	39002
570	51756	38885
571	51802	38761
572	51853	38641
573	51898	38517
574	51947	38396
575	51993	38273
576	52032	38145
577	52074	38020
578	52126	37901
579	52170	37778
580	52213	37654
581	52262	37535
582	52308	37414
583	52349	37289
584	52387	37163
585	52433	37043
586	52477	36922
587	52520	36800
588	52558	36675
589	52603	36555
590	52641	36430
591	52706	36324
592	52764	36214
593	52824	36105
594	52882	35995
595	52955	35896
596	53022	35792
597	53079	35682
598	53142	35576
599	53200	35467
600	53259	35358
601	53323	35253
602	53382	35145
603	53453	35045
604	53510	34936
605	53569	34829
606	53626	34720
607	53679	34609
608	53730	34497
609	53781	34385
610	53831	34272
611	53880	34159
612	53931	34048
613	53980	33935
614	54023	33819
615	54075	33709
616	54159	33619
617	54277	33549
618	54376	33469
619	54479	33390
620	54551	33293
621	54639	33205
622	54725	33116
623	54800	33020
624	54865	32919
625	54931	32818
626	54990	32713
627	55056	32613
628	55113	32507
629	55164	32398
630	55216	32289
631	55266	32180
632	55310	32067
633	55352	31954
634	55407	31848
635	55447	31733
636	55491	31622
637	55532	31509
638	55575	31397
639	55614	31283
640	55654	31169
641	55697	31058
642	55736	30945
643	55781	30835
644	55823	30724
645	55872	30617
646	55923	30511
647	55973	30405
648	56017	30296
649	56061	30186
650	56113	30082
651	56165	29978
652	56223	29876
653	56282	29776
654	56355	29683
655	56480	29617
656	56567	29531
657	56702	29471
658	56796	29389
659	56870	29296
660	56931	29197
661	56998	29101
662	57070	29008
663	57198	28943
664	57322	28876
665	57440	28806
666	57502	28708
667	57548	28602
668	57600	28498
669	57642	28391
670	57688	28285
671	57732	28179
672	57786	28077
673	57882	27996
